UserId,GameId,Skill Score (out of 10),Interest Level (out of 10)
1,4,7.9,1.6
1,6,5.7,6.2
1,10,3.5,7.3
2,2,3.8,2.8
2,3,9.3,3.3
2,4,5.6,6.2
2,5,0.5,9.3
2,6,4.5,1.3
2,8,0.8,2
3,1,3.5,2.9
3,3,1.4,2.2
3,5,8.6,3.3
3,7,3,4
3,8,6.3,8
3,9,7.2,0.6
4,3,8.4,8.5
4,6,2.5,5.4
4,7,3.6,6.9
4,9,0.8,3.4
5,3,7.9,0.5
5,6,7.9,4.3
5,10,7.6,8.8
6,1,5.3,4.3
6,4,4.6,4.6
6,5,3.1,10
6,6,3.8,8.1
6,8,7.7,1.6
6,9,7.5,2.1
6,10,7,9.5
7,1,9.4,3.7
7,2,2.7,5.6
7,3,10,7
7,4,6.8,5.9
7,5,2.1,6.1
7,7,9.5,6.4
7,9,1.2,9.8
7,10,5.7,4.3
8,2,8.8,6.1
8,3,3.6,5.3
8,5,3.9,4.8
8,9,6.1,8.2
8,10,2.5,2.2
9,1,1.9,0.9
9,4,7.3,0
9,7,7.9,2
9,8,5,1.7
9,9,3,8.8
9,10,1.9,0.1
10,1,7,1.4
10,2,1.4,5.8
10,5,1.8,1.5
10,6,3.5,7.2
10,7,4.6,2.2
10,8,2.6,3.4
10,10,6,9.6
11,1,9.4,4.3
11,5,7.4,0.8
11,6,8.8,3.2
11,8,7.3,7.1
11,9,4.2,6
11,10,0.9,2.7
12,2,3.5,3.6
12,5,7.9,9
12,8,1.8,6.7
12,9,6.3,1.9
12,10,3.5,6.9
13,1,2.3,4.8
13,2,4,4.8
13,3,3.3,3.7
13,5,1.5,1.3
13,6,9.5,4.1
13,7,7.7,0.9
13,10,7.3,8.1
14,1,0.2,8.2
14,2,5.8,8.7
14,3,8.8,3
14,4,5.8,6.3
14,9,9.5,0.6
15,2,1.1,1.2
15,3,5.1,1.5
15,5,2,1.5
15,8,7.6,1.5
16,2,5.1,1.2
16,3,3.1,0.9
16,5,7.5,1.2
16,7,5.1,6.5
16,8,5.5,6.9
16,10,1.7,8.8
17,1,6.1,8.6
17,2,1.4,4.5
17,3,1,9.8
17,4,9.8,6.9
17,7,9.2,2.4
17,9,1.3,9.4
18,1,3.2,4
18,3,8.8,6.3
18,5,8.5,3.9
18,9,4.2,3.8
19,2,0.6,6
19,4,5.8,6.1
19,7,7.8,4.7
19,8,0.4,2
19,9,6.1,3
20,3,9.3,5.8
20,6,7.1,9.6
20,9,5.3,7.8
20,10,1.2,6.4
